שם ישוב,סמל ישוב,אשכול,דירוג,ערך,אוכלסייה
הודיות,1322,3,386,-0.487,293
גבעת אבני,1293,3,389,-0.483,"2,082"
בית רימון,1162,3,395,-0.476,623
בית קשת,365,3,396,-0.475,591
שדה אילן,721,3,427,-0.424,541
שדמות דבורה,306,3,429,-0.420,656
כדורי,371,3,431,-0.415,166
אילנייה,49,3,455,-0.387,484
פארן,1151,2,14,-1.981,435
צוקים,1262,2,15,-1.873,289
צופר,1150,2,16,-1.801,394
ספיר,1176,2,17,-1.760,374
עין יהב,806,2,18,-1.743,665
חצבה,13,2,19,-1.629,566
עידן,1175,2,20,-1.598,360
מצדות יהודה,3745,3,200,-0.835,467
סוסיה,3756,3,215,-0.789,"1,041"
עתניאל,3748,3,247,-0.741,909
מעון,3657,3,251,-0.737,502
שמעה,3784,3,263,-0.716,538
כרמל,3656,3,268,-0.701,407
טנא,3743,3,270,-0.697,756
פני חבר,3723,3,306,-0.631,432
חגי,3764,3,310,-0.612,592
אשכולות,3722,3,344,-0.549,494
סנסנה,3777,3,364,-0.520,334
נגוהות,3724,3,384,-0.489,288
תלם,3719,3,435,-0.410,336
אדורה,3759,3,449,-0.397,404
נופית,1284,5,570,-0.164,"2,726"
ראס עלי,990,5,603,-0.122,560
ח'ואלד,1321,5,673,-0.021,458
אבטין,652,5,715,0.064,"2,689"
כפר הנוער הדתי,890,5,732,0.099,258
שער העמקים,237,5,738,0.105,687
אורנים,882,5,742,0.111,177
רמת יוחנן,178,5,763,0.156,929
כפר חסידים א',112,5,768,0.167,798
יגור,96,5,775,0.192,"1,525"
כפר המכבי,254,5,782,0.209,371
כפר חסידים ב',889,5,787,0.220,256
אושה,278,5,797,0.247,462
כפר ביאליק,220,5,916,0.579,754
אילות,1126,1,1,-2.544,322
באר אורה,21,1,2,-2.541,617
אליפז,1248,1,3,-2.488,129
סמר,1156,1,5,-2.442,274
יטבתה,866,1,6,-2.381,657
שחרות,1266,1,7,-2.379,130
גרופית,1129,1,8,-2.356,262
קטורה,1052,1,9,-2.321,485
לוטן,1255,1,10,-2.316,181
נווה חריף,1279,1,11,-2.244,110
יהל,1158,1,12,-2.235,182
